subID	modeli	name	Mp	delta	wp	scl	delta2	nll	nllsd	success	iterations
22072002	1	McFadden	12.8585065901279	0.882005834579468	NaN	NaN	NaN	204.450318268734	0.021827951029565	2	18
22072002	2	dnLinear	12.926312975731	0.895040132908616	NaN	0	NaN	204.489802315043	0.0348442256650551	1	22
22072002	3	DNM	12.7978890854865	0.926807950809598	0	NaN	NaN	204.497454665797	0.0274335453255939	1	25
22072002	4	dnDNM	13.1061096191406	0.86314697265625	4.27246093750444e-05	0.12786865234375	NaN	204.464015748101	0.0305016376422613	2	31
22072002	5	dnDNMExtened	12.529052734375	0.930712890625	0	0.416015625	-0.999951171875	204.430666226279	0.0230426695471835	2	23
22072003	1	McFadden	42.3948621749878	-0.347647309303284	NaN	NaN	NaN	358.843979188912	0.0264196851626496	2	11
22072003	2	dnLinear	2.07598743845301	-0.99999999999709	NaN	1.64893061605108	NaN	238.141065663005	0.0418138993540559	1	25
22072003	3	DNM	9.31322574615479e-10	-0.295255953352898	0.785842662490904	NaN	NaN	320.152392355852	0.0380271537946715	2	19
22072003	4	dnDNM	0.0301464796066284	-0.838810080289841	0.0268942236900329	1.29853773117065	NaN	221.147222886804	0.0306402932068382	2	36
22072003	5	dnDNMExtened	0.0598789964333264	-0.966681096891989	0.0216612032378179	1.6999642429073	-0.471001867551968	218.731860035125	0.0270119451143079	1	40
22072004	1	McFadden	20.0048113152152	0.258785385149531	NaN	NaN	NaN	267.354238577177	0.0420193213796052	1	24
22072004	2	dnLinear	20.0881958007812	0.256200408935547	NaN	0	NaN	267.308765391575	0.0345264246086541	2	13
22072004	3	DNM	20.0350876934826	0.269516432005912	0	NaN	NaN	267.380190399424	0.0327183956452878	2	23
22072004	4	dnDNM	20.2619171142578	0.257731628417969	0	0	NaN	267.332214839783	0.0262957385393782	2	13
22072004	5	dnDNMExtened	20.245677947998	0.244773483276367	0	0	-0.55200309753418	267.348655997001	0.0338398421834207	2	18
22072005	1	McFadden	5.46062517166138	0.55814905166626	NaN	NaN	NaN	114.807878599767	0.0498558934643295	2	11
22072005	2	dnLinear	5.52704524993896	0.511902904510498	NaN	0.165740966796875	NaN	114.762289586252	0.0452181066835349	2	20
22072005	3	DNM	9.31322574615479e-10	0.638140440639108	0.0810197519138456	NaN	NaN	106.439381495345	0.0324090534222199	2	27
22072005	4	dnDNM	8.94835424674056e-05	0.583540864606431	0.0826886565645338	1.23189619216646e-05	NaN	106.428678544336	0.0423443037503544	1	28
22072005	5	dnDNMExtened	0.000230528884912928	0.568096208910629	0.0835967929379876	0.000412227151173283	-0.803841343013483	106.382114660203	0.0327687373295989	1	28
22072006	1	McFadden	27.0241870146989	0.190534311984425	NaN	NaN	NaN	344.919685951246	0.0271423690249284	2	18
22072006	2	dnLinear	23.7402385044843	0.217807511612773	NaN	2.74282808601856	NaN	344.535639960675	0.0297967187215933	1	24
22072006	3	DNM	26.2170648574829	0.160490322113037	0.00127773284912114	NaN	NaN	344.934190298008	0.0369568023664153	2	21
22072006	4	dnDNM	0.281700134277344	0.296568298339844	0.275968933105469	3.85923767089844	NaN	341.759131224615	0.0326929284065547	1	26
22072006	5	dnDNMExtened	0.126959367072743	0.406093485709959	0.278822736518673	3.99886528537941	3.99989533670163	340.472799262924	0.0432698154238016	1	38
22072007	1	McFadden	3.18928040377796	-0.0917504329234362	NaN	NaN	NaN	171.255311089816	0.026090262008117	2	15
